Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,MELANIA,0.7642,515.9,394.25,BUY,08-03-2025 20:36,-514.9,Short > Long,34.431363,0xe1d7303e2fc42a7cdae5041f2778750202ae00cdaad037ea02c1f0266a715e51,78217687750,False,0.019712,455000000000000.0,1740000000000.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,PURR/USDC,0.16183,99.0,16.02,SELL,28-10-2024 08:11,407428.35,Sell,2.660036,0x0000000000000000000000000000000000000000000000000000000000000000,43593087207,False,0.001602,329000000000000.0,1730000000000.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,17.535,115.36,2022.84,SELL,05-03-2025 04:42,178757.55,Close Long,106.142736,0xf56d37a1433b9a919b96041eeb2cd901d200aa10e48be082fdec54477878babe,77214297554,True,0.606851,1010000000000000.0,1740000000000.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,SUI,1.9831,1008.1,1999.16,BUY,06-04-2025 23:49,62314.6,Open Long,0.0,0xc0946402f74b2419b6b3042108068f02060f0097233429da360be257257c3795,84298951614,True,0.599748,86500000000000.0,1740000000000.0
0x8477e447846c758f5a675856001ea72298fd9cb5,WLD,4.3921,4.0,17.57,SELL,10-06-2024 21:10,-1140.4,Open Short,0.0,0xf93c774d772b2e0620c0040b23f5ee0172005f77aa76496ee03382eac834dc82,25553362653,True,0.006148,446000000000000.0,1720000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,29.435,15.0,441.52,SELL,23-12-2024 15:37,16743.93778,Sell,35.323714,0xf7bdcfc7c365419efbae0419da384d01f300e0324ebf389d88e4c5c78bc6f108,58000121239,True,0.132457,1070000000000000.0,1730000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,23.26,85.72,1993.85,SELL,19-02-2025 12:24,3797.148802,Sell,24.952881,0x4c084231dd238512de31041e0b2a0c020144004df924c687acdbfc888e8fddd4,73349913719,True,0.697846,810000000000000.0,1740000000000.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,SOL,127.47,54.92,7000.65,SELL,09-03-2025 22:38,5016.35,Close Long,6.689256,0xc89ce8d0c276c4717761041f3944000201fb00fe87514a19e2b04ec5d02ee195,78428682687,True,1.750163,163000000000000.0,1740000000000.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,HYPE,24.352,2.9,70.62,SELL,20-02-2025 06:12,1973.26,Close Long,0.50605,0xfa5553e79649cb929e6a041e1750c101a80057203d3294b30b05f5338fbeb368,73524846595,False,0.003531,188000000000000.0,1740000000000.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,HYPE,19.28,14.05,270.88,BUY,10-01-2025 01:35,100.21,Open Long,0.0,0x63570857afec144fc020041b111a4f01e4002c25c3c5f1a13e738aeed023a967,61865059329,True,0.094809,359000000000000.0,1740000000000.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,2607.7,0.9572,2496.09,SELL,12-02-2025 06:23,13.9572,Close Long,4.21168,0x95f48b65a8c94250608d041d98463b01a30095cafb4b7330f0146b570231c4e5,71613643283,True,0.873631,1040000000000000.0,1740000000000.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,HYPE,25.455,776.44,19764.28,SELL,05-01-2025 02:53,-42465.36,Open Short,0.0,0x4dbc67d3502b125494ed041aaa3f9d01670001ee948735ddb04744a0091c8816,60221991116,False,1.89737,496000000000000.0,1740000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,29.353,68.65,2015.08,SELL,23-12-2024 15:38,14872.14778,Sell,156.035563,0x54523378760faac814d70419da390101b0002feaf8f9822db8afecc996e7b3f3,58000167590,True,0.604525,1040000000000000.0,1730000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,13.276,31.82,422.44,SELL,18-03-2025 12:57,3706.54,Close Long,10.491054,0xd4ddeb26e5a9c0cc0247041fc7739a018a0069cb7d54e06118eaa5c1bf1c235d,80500468117,True,0.126732,1050000000000000.0,1740000000000.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,BTC,82858.0,0.10879,9014.12,SELL,30-03-2025 20:18,6.89279,Close Long,9.236271,0x05e709b1ad1e9ec7323a042092342c01ed00e9a866dbb3a24b9c3791604c7f0d,82704363516,True,2.704236,328000000000000.0,1740000000000.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,PENDLE,3.7576,70.0,263.03,BUY,26-01-2025 12:47,399.0,Open Long,0.0,0x8d45ccd354dc99d5118b041c880a54014a00f43c0bf13a3d170ed5074685c0d3,66607266536,True,0.092061,677000000000000.0,1740000000000.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,ONDO,0.8748,45724.0,39999.36,BUY,15-04-2024 04:21,0.0,Open Long,0.0,0xb4e5177c448d00c0dce604087add0401ad00ac68807bd5a1fb1b0b04484c2249,18255439520,False,3.839937,493000000000000.0,1710000000000.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,XRP,2.4134,86.0,207.55,BUY,07-12-2024 09:31,-1226.0,Close Short,2.330944,0x0e8ed25fb73d2696314304189d6f2301bd00ddec5e07d633bd18f62e78e2e994,53381213889,True,0.069737,147000000000000.0,1730000000000.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,INJ,32.69,9.2,300.75,BUY,02-04-2024 08:07,0.0,Open Long,0.0,0x4665f955da420ea8da0e04084c7fab0203c200c67dae56ae29ff24cc860e66f7,13991613030,False,0.030074,468000000000000.0,1710000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,15.979,73.2,1169.66,SELL,22-03-2025 05:48,-596.33,Open Short,0.0,0xed1d82ecab87d848039804200484f601ae00452505cb9f0724d5290a1186eff7,81188340834,True,0.350898,112000000000000.0,1740000000000.0
0x8477e447846c758f5a675856001ea72298fd9cb5,BTC,95015.0,0.00526,499.78,SELL,11-01-2025 01:49,-0.01584,Open Short,0.0,0x0412d7a40f7d8e19a176041b26087801c100eaf8ecfe9135e5561b3970b30426,62170298408,True,0.174922,899000000000000.0,1740000000000.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,HYPE,21.9,6.84,149.8,SELL,03-02-2025 05:55,-2134.9,Open Short,0.0,0x311601945b5d8bb44dd5041d06d07b0201740035d5845f96f03f62c78404083c,68734052172,False,0.014379,969000000000000.0,1740000000000.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,@4,3.8445,63.0,242.2,BUY,09-08-2024 21:07,1815.3464,Buy,0.0,0x47f27eafd63a58920b96040ef7829a017e0038f2f1cc023d1b7d173c836d09cd,33566166424,True,0.02204,421000000000000.0,1720000000000.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,@107,17.766,101.98,1811.78,BUY,20-04-2025 00:13,2895.753099,Buy,0.0,0x14af9a49fc73d752cc560421dc534001a900870e4d36a48e4f9e62337822cf87,87514529928,True,0.03569295,1110000000000000.0,1750000000000.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,BTC,99407.0,0.00704,699.83,SELL,21-12-2024 13:20,0.08327,Close Long,22.68992,0xb68201b8fcf21b9273030419bc48d9020170005aab9499559617089ed490a3a8,57313067492,True,0.244938,498000000000000.0,1730000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,13.947,25.34,353.42,SELL,11-03-2025 08:28,970.07,Close Long,21.46298,0xa9dc1cbd8a555b0a42ad041f50b00c019300b85c9c7d4f4c1c460a9e50ecef52,78928367046,True,0.106025,160000000000000.0,1740000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,19.462,70.44,1370.9,SELL,20-01-2025 06:35,1247.477129,Sell,-71.100232,0x64f60be6b1bdb04dec18041be23e5a020255006955272d26c518936b1112346e,64605509781,True,0.479816,276000000000000.0,1740000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,HYPE,12.006,17.12,205.54,SELL,05-04-2025 16:21,11177.78,Close Long,6.584352,0x32d57bc3ccb7b74dbe370420f2b9ea013000715934396bc8d07a361f738ae74d,84101498744,True,0.061662,945000000000000.0,1740000000000.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,FARTCOIN,0.77582,276.2,214.28,SELL,13-01-2025 08:19,2909.6,Close Long,5.449426,0xe66ebcebd519c3e5b517041b55225b01ed0078f00d01c62b3f3b3553aad3fb8a,62549406956,False,0.02057,141000000000000.0,1740000000000.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,20.273,7.26,147.18,BUY,25-02-2025 03:43,133769.22,Open Long,0.0,0x12e000ead45b8e084ca1041e66ab840202b1001014f488290b979af25d1ab3b2,74479445883,False,0.014129,392000000000000.0,1740000000000.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,13.2,202.01,2666.53,BUY,10-12-2024 21:21,50573.91528,Buy,0.0,0xac9ee452fd71c41a40c40418e6123b0203b50087cd6c54ce203dcafe1571cee3,54260350336,False,0.0,579000000000000.0,1730000000000.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,3540.5,5.3936,19096.04,SELL,15-06-2024 17:31,5.3936,Close Long,79.070176,0x8b7fcc1ee1ff91cea94a040b849c4f012800789933d1d09fb24a4730ce464123,26201077484,True,6.683614,520000000000000.0,1720000000000.0
